epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67218,2.03634,3.46557,1.42874,0.71199,0.74711,0.73278,0.34245,1.85144,1.93478,1.22164,0.00011669,0.00011669,0.00011669
2,8.73546,1.75335,1.5776,1.24567,0.80675,0.96296,0.91152,0.45712,1.63837,1.77698,1.17839,0.000247575,0.000247575,0.000247575
3,11.5855,1.61035,1.18069,1.20138,0.87743,0.88542,0.9239,0.44926,1.72795,1.51232,1.21981,0.000375818,0.000375818,0.000375818
4,14.415,1.52325,1.10577,1.20975,0.82606,0.85764,0.87761,0.4101,1.7172,1.74981,1.21782,0.000501422,0.000501422,0.000501422
5,17.1567,1.57324,1.02749,1.23466,0.7475,0.93519,0.75682,0.35881,1.69154,2.05728,1.2319,0.000624385,0.000624385,0.000624385
6,19.8984,1.49492,1.04447,1.17821,0.87554,0.83623,0.90421,0.43967,1.68361,1.43471,1.21457,0.000744707,0.000744707,0.000744707
7,22.6913,1.46639,0.93042,1.1783,0.90386,0.9566,0.96721,0.48778,1.77253,1.31369,1.27338,0.000862389,0.000862389,0.000862389
8,25.5454,1.49438,0.95293,1.17113,0.9483,0.9566,0.98088,0.48074,1.6941,1.59311,1.24053,0.00097743,0.00097743,0.00097743
9,30.6114,1.52747,0.96348,1.18376,0.97466,0.96505,0.98231,0.44495,1.83149,1.42272,1.30734,0.00108983,0.00108983,0.00108983
10,33.3976,1.47028,0.88508,1.14492,0.97727,0.97222,0.99061,0.4979,1.65606,1.11638,1.23352,0.00119959,0.00119959,0.00119959
11,36.2263,1.42703,0.87336,1.12881,0.92992,0.98961,0.98577,0.50642,1.60038,1.0591,1.17631,0.00130671,0.00130671,0.00130671
12,39.0516,1.42394,0.94085,1.13227,0.89638,0.94823,0.97786,0.44268,1.69211,1.05731,1.23673,0.00141119,0.00141119,0.00141119
13,41.8163,1.46768,0.92653,1.15713,0.94235,0.9537,0.98581,0.50496,1.56403,1.14794,1.21532,0.00146896,0.00146896,0.00146896
14,44.5621,1.36502,0.85398,1.10933,0.89813,0.97512,0.98564,0.5045,1.61171,1.15253,1.22056,0.00145246,0.00145246,0.00145246
15,47.3012,1.39932,0.86979,1.13559,0.93321,0.95023,0.97253,0.46308,1.72109,1.12384,1.24712,0.00143595,0.00143595,0.00143595
16,50.0867,1.3864,0.80833,1.1431,0.9542,0.9566,0.98244,0.53054,1.56423,0.99427,1.17358,0.00141945,0.00141945,0.00141945
17,52.9348,1.37099,0.82015,1.12145,0.9156,0.98241,0.98642,0.48089,1.66506,1.23957,1.20711,0.00140295,0.00140295,0.00140295
18,55.661,1.38241,0.84845,1.12118,0.87537,0.94734,0.95638,0.47632,1.6076,0.94683,1.18147,0.00138644,0.00138644,0.00138644
19,58.3073,1.39928,0.85607,1.13091,0.93287,0.94734,0.97022,0.5282,1.48336,0.91618,1.14428,0.00136994,0.00136994,0.00136994
20,61.0378,1.37859,0.80477,1.09901,0.95062,0.9566,0.97725,0.5368,1.50555,0.85791,1.16271,0.00135344,0.00135344,0.00135344
21,66.8405,1.34648,0.78095,1.1071,0.96146,0.9566,0.97337,0.5316,1.52107,0.91557,1.1578,0.00133693,0.00133693,0.00133693
22,69.6304,1.39903,0.78213,1.10911,0.94573,0.94973,0.96946,0.50367,1.58628,0.79819,1.16718,0.00132043,0.00132043,0.00132043
23,72.3587,1.3629,0.76935,1.10454,0.96499,0.94696,0.98546,0.55478,1.46419,0.77166,1.14929,0.00130393,0.00130393,0.00130393
24,75.2021,1.33674,0.76372,1.11502,0.95306,0.98087,0.98466,0.54475,1.5072,0.87014,1.16661,0.00128742,0.00128742,0.00128742
25,77.9468,1.31492,0.72609,1.07659,0.93969,0.96294,0.9803,0.55808,1.47322,0.76823,1.1643,0.00127092,0.00127092,0.00127092
26,80.7952,1.40011,0.75478,1.13003,0.95612,0.96586,0.98833,0.52811,1.56587,0.75805,1.16974,0.00125442,0.00125442,0.00125442
27,83.5448,1.34931,0.74302,1.10968,0.96431,0.97222,0.98364,0.5573,1.48054,0.71469,1.12623,0.00123791,0.00123791,0.00123791
28,86.2823,1.33226,0.72472,1.09686,0.97826,0.9689,0.97969,0.56791,1.41038,0.71608,1.10678,0.00122141,0.00122141,0.00122141
29,89.1033,1.31402,0.71032,1.09449,0.95483,0.95554,0.9532,0.56479,1.42045,0.68849,1.11084,0.00120491,0.00120491,0.00120491
30,91.8728,1.35434,0.72458,1.09386,0.95642,0.97512,0.97001,0.57276,1.40788,0.66971,1.10505,0.0011884,0.0011884,0.0011884
31,94.782,1.34551,0.73634,1.1051,0.93674,0.95788,0.95372,0.53098,1.53145,0.69647,1.1367,0.0011719,0.0011719,0.0011719
32,100.489,1.29257,0.71002,1.05044,0.9522,0.96586,0.97325,0.52628,1.57399,0.72183,1.15399,0.0011554,0.0011554,0.0011554
33,103.444,1.29531,0.72021,1.08721,0.96502,0.98148,0.98653,0.54251,1.49454,0.72354,1.14716,0.00113889,0.00113889,0.00113889
34,106.375,1.31214,0.70857,1.08248,0.96931,0.98148,0.99008,0.55104,1.48403,0.69307,1.13314,0.00112239,0.00112239,0.00112239
35,109.296,1.26265,0.68262,1.08318,0.97175,0.99074,0.99173,0.57029,1.46943,0.67475,1.1143,0.00110589,0.00110589,0.00110589
36,112.285,1.30226,0.6659,1.08496,0.98511,0.99074,0.99264,0.58045,1.49269,0.6568,1.12626,0.00108938,0.00108938,0.00108938
37,115.359,1.27186,0.67511,1.05665,0.96782,0.97994,0.98732,0.59313,1.45735,0.66597,1.12112,0.00107288,0.00107288,0.00107288
38,118.174,1.29224,0.65263,1.06177,0.96897,0.97222,0.98603,0.58968,1.44986,0.66994,1.13129,0.00105638,0.00105638,0.00105638
39,120.866,1.27577,0.64877,1.06612,0.98665,0.98148,0.99225,0.54671,1.50838,0.69286,1.13875,0.00103987,0.00103987,0.00103987
40,123.586,1.30102,0.69872,1.0982,0.97637,0.98972,0.99246,0.55978,1.46437,0.67475,1.11556,0.00102337,0.00102337,0.00102337
41,126.382,1.30334,0.66908,1.06819,0.96125,0.99074,0.98927,0.59245,1.37407,0.64652,1.08726,0.00100687,0.00100687,0.00100687
42,129.163,1.21354,0.64492,1.02632,0.97349,0.97695,0.98782,0.58538,1.394,0.65209,1.10054,0.000990365,0.000990365,0.000990365
43,133.507,1.26146,0.67751,1.04314,0.98254,0.99074,0.99188,0.57736,1.5183,0.67445,1.15097,0.000973861,0.000973861,0.000973861
44,136.251,1.26902,0.66921,1.04291,0.98011,0.99074,0.99113,0.57483,1.50332,0.66165,1.14339,0.000957358,0.000957358,0.000957358
45,138.991,1.23351,0.64666,1.06819,0.96933,0.99726,0.98896,0.59025,1.43394,0.64452,1.09493,0.000940855,0.000940855,0.000940855
46,141.767,1.26982,0.66261,1.07258,0.96786,0.99074,0.98927,0.59425,1.44494,0.62546,1.0988,0.000924352,0.000924352,0.000924352
47,144.647,1.19664,0.63331,1.0519,0.968,0.98426,0.9894,0.56406,1.52244,0.63326,1.13179,0.000907848,0.000907848,0.000907848
48,147.412,1.23141,0.63951,1.03344,0.95061,0.98755,0.98695,0.54608,1.59475,0.64864,1.17641,0.000891345,0.000891345,0.000891345
49,150.119,1.23386,0.63948,1.06056,0.97348,0.97222,0.98851,0.57092,1.54885,0.64252,1.16764,0.000874842,0.000874842,0.000874842
50,152.912,1.17898,0.61888,1.03407,0.96627,1,0.99028,0.57975,1.46975,0.61596,1.13596,0.000858338,0.000858338,0.000858338
51,155.692,1.21535,0.6202,1.05793,0.96841,1,0.989,0.57933,1.42957,0.61518,1.11622,0.000841835,0.000841835,0.000841835
52,158.437,1.20443,0.61994,1.04942,0.9709,0.99253,0.99026,0.57524,1.43787,0.63091,1.11822,0.000825332,0.000825332,0.000825332
53,161.153,1.24689,0.63643,1.0657,0.9579,0.97512,0.97456,0.5308,1.53185,0.65887,1.1561,0.000808828,0.000808828,0.000808828
54,163.896,1.19337,0.60967,1.03901,0.95379,0.97795,0.97606,0.54034,1.55303,0.66498,1.16878,0.000792325,0.000792325,0.000792325
55,169.599,1.17258,0.61049,1.01599,0.97812,0.9954,0.98988,0.56857,1.50207,0.64715,1.14264,0.000775822,0.000775822,0.000775822
56,172.333,1.12512,0.59589,1.01833,0.97786,1,0.98957,0.55916,1.50485,0.65897,1.13446,0.000759318,0.000759318,0.000759318
57,175.077,1.14822,0.59065,0.99605,0.96913,1,0.98759,0.53186,1.54917,0.66511,1.14824,0.000742815,0.000742815,0.000742815
58,177.842,1.14186,0.59154,1.00321,0.95453,0.99074,0.97882,0.54078,1.5268,0.65349,1.13663,0.000726312,0.000726312,0.000726312
59,180.582,1.19148,0.59509,1.04148,0.94211,0.98148,0.97661,0.55597,1.51322,0.63111,1.14603,0.000709809,0.000709809,0.000709809
60,183.422,1.14385,0.5793,1.01123,0.93375,0.98148,0.97494,0.55439,1.52185,0.62766,1.16076,0.000693305,0.000693305,0.000693305
61,186.269,1.20061,0.60041,1.02873,0.93277,0.97222,0.97568,0.56614,1.51144,0.63286,1.16158,0.000676802,0.000676802,0.000676802
62,189.063,1.16034,0.57993,1.01818,0.93943,0.97222,0.97732,0.57239,1.49,0.63501,1.1387,0.000660299,0.000660299,0.000660299
63,191.929,1.18266,0.58056,1.00908,0.96019,0.98148,0.98023,0.582,1.44691,0.6386,1.11495,0.000643795,0.000643795,0.000643795
64,194.756,1.1268,0.57575,1.005,0.96182,0.97388,0.98115,0.59054,1.42625,0.63957,1.10652,0.000627292,0.000627292,0.000627292
65,197.58,1.13026,0.5843,1.01077,0.97889,0.99045,0.98797,0.57796,1.44459,0.63177,1.11347,0.000610789,0.000610789,0.000610789
66,202.507,1.15475,0.5761,1.01012,0.96402,0.99074,0.98783,0.59191,1.48696,0.63744,1.14322,0.000594286,0.000594286,0.000594286
67,205.419,1.1808,0.60107,1.03076,0.96545,1,0.99122,0.57322,1.5493,0.64443,1.17029,0.000577782,0.000577782,0.000577782
68,208.302,1.14016,0.57603,0.99668,0.98025,0.99969,0.99182,0.58724,1.51592,0.63783,1.14952,0.000561279,0.000561279,0.000561279
69,211.125,1.09278,0.56804,0.99687,0.97589,0.99074,0.99214,0.60469,1.42802,0.64032,1.10634,0.000544776,0.000544776,0.000544776
70,213.959,1.1373,0.58919,1.01781,0.97614,1,0.9912,0.5996,1.39869,0.63397,1.09173,0.000528272,0.000528272,0.000528272
71,216.718,1.06325,0.55973,0.97963,0.97516,1,0.99029,0.58427,1.43544,0.63516,1.0969,0.000511769,0.000511769,0.000511769
72,219.499,1.072,0.54436,1.00019,0.96354,0.99331,0.98801,0.58005,1.45233,0.63234,1.10357,0.000495266,0.000495266,0.000495266
73,222.356,1.14362,0.59101,1.02033,0.96166,1,0.98921,0.59137,1.44891,0.62809,1.11432,0.000478762,0.000478762,0.000478762
74,225.176,1.12894,0.58629,1.02159,0.97064,0.99916,0.9912,0.59153,1.42506,0.61891,1.11151,0.000462259,0.000462259,0.000462259
75,228.005,1.19861,0.59407,1.03454,0.97633,1,0.99209,0.58284,1.42766,0.6229,1.10594,0.000445756,0.000445756,0.000445756
76,230.785,1.09411,0.56332,1.00341,0.96733,0.99074,0.98806,0.58614,1.44078,0.6182,1.09762,0.000429253,0.000429253,0.000429253
77,233.585,1.07465,0.55127,0.98165,0.94569,0.96586,0.98272,0.56985,1.44001,0.62378,1.09162,0.000412749,0.000412749,0.000412749
78,238.421,1.12435,0.57672,1.02212,0.94624,0.97123,0.98394,0.55544,1.49116,0.62422,1.10382,0.000396246,0.000396246,0.000396246
79,241.245,1.08871,0.55296,0.99043,0.96294,0.98438,0.98885,0.56433,1.51406,0.62649,1.11405,0.000379743,0.000379743,0.000379743
80,244.129,1.08589,0.53681,1.00404,0.9775,1,0.99282,0.56499,1.53941,0.62602,1.13407,0.000363239,0.000363239,0.000363239
81,246.895,1.11026,0.56738,1.01261,0.98315,1,0.993,0.56969,1.54654,0.63796,1.14512,0.000346736,0.000346736,0.000346736
