epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83674,1.80831,3.18111,1.53674,0.24386,0.30392,0.23971,0.11628,1.62412,2.46555,1.40964,5.001e-05,5.001e-05,5.001e-05
2,6.50171,1.73059,2.14353,1.37413,0.8869,0.91176,0.96712,0.50397,1.37131,1.97887,1.14489,0.000115535,0.000115535,0.000115535
3,7.58963,1.49966,1.28595,1.28921,0.91613,0.9777,0.9728,0.51082,1.47066,1.17934,1.09987,0.000179739,0.000179739,0.000179739
4,8.55729,1.44345,1.0215,1.13523,0.95495,0.93152,0.97819,0.56647,1.44859,1.24821,1.05822,0.000242624,0.000242624,0.000242624
5,9.60802,1.43764,0.89494,1.16549,0.88923,0.97142,0.9689,0.54915,1.4976,1.31025,1.08575,0.000304187,0.000304187,0.000304187
6,10.5798,1.39773,0.87834,1.16129,0.78285,0.99666,0.92596,0.5356,1.47037,1.78674,1.07246,0.000364431,0.000364431,0.000364431
7,11.6058,1.46602,0.88965,1.17469,0.91755,0.98424,0.97018,0.58348,1.34895,1.00456,1.01938,0.000423355,0.000423355,0.000423355
8,12.7118,1.36017,0.78215,1.1011,0.78994,0.9902,0.84484,0.50363,1.35976,1.29008,1.01696,0.000480958,0.000480958,0.000480958
9,13.6907,1.31558,0.72803,1.08625,0.76741,0.97583,0.80964,0.49303,1.3164,1.69661,1.01132,0.000537241,0.000537241,0.000537241
10,16.3943,1.33811,0.74887,1.09103,0.56545,0.96078,0.76049,0.46517,1.3054,1.70977,1.00901,0.000592203,0.000592203,0.000592203
11,17.5043,1.31974,0.76824,1.1119,0.52327,0.98976,0.53733,0.32804,1.32941,1.7387,1.04214,0.000645846,0.000645846,0.000645846
12,18.4553,1.30869,0.74959,1.09185,0.55427,1,0.5734,0.3229,1.46461,1.79101,1.0939,0.000698168,0.000698168,0.000698168
13,19.4172,1.45411,0.82763,1.17092,0.47286,1,0.50111,0.28461,1.35876,2.04519,1.07309,0.00074917,0.00074917,0.00074917
14,20.4035,1.32089,0.75199,1.1219,0.6209,0.98987,0.76782,0.46425,1.228,2.10178,1.03352,0.000798851,0.000798851,0.000798851
15,21.3273,1.34318,0.8256,1.11138,0.7209,0.99035,0.74625,0.4701,1.17586,1.12536,1.00655,0.000847213,0.000847213,0.000847213
16,22.2228,1.3686,0.81848,1.13292,0.7209,0.99035,0.74625,0.4701,1.17586,1.12536,1.00655,0.000894254,0.000894254,0.000894254
