epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9561,2.46109,3.5561,1.81506,0.61796,0.12222,0.04366,0.0141,2.29705,3.96139,1.70614,3.334e-05,3.334e-05,3.334e-05
2,18.7938,2.31737,2.85285,1.66171,0.70627,0.25556,0.13601,0.05029,2.19009,1.93809,1.54744,8.16997e-05,8.16997e-05,8.16997e-05
3,21.9744,2.12322,2.03778,1.60744,0.60049,0.60742,0.53779,0.22972,2.17911,1.83075,1.53485,0.000128079,0.000128079,0.000128079
4,25.2926,2.24169,1.78519,1.61356,0.57456,0.55,0.52292,0.23014,2.10709,2.07246,1.54602,0.000172478,0.000172478,0.000172478
5,28.3758,1.88162,1.60692,1.47215,0.54602,0.47778,0.40872,0.18395,2.06839,1.82238,1.51162,0.000214896,0.000214896,0.000214896
6,31.817,1.94665,1.52203,1.43711,0.55918,0.65,0.5568,0.2454,1.98607,2.14757,1.44971,0.000255334,0.000255334,0.000255334
7,34.7577,2.0095,1.5513,1.43419,0.56725,0.63889,0.55156,0.24989,1.93769,2.85694,1.4588,0.000293792,0.000293792,0.000293792
8,37.6996,1.81834,1.60042,1.35052,0.57246,0.63889,0.54425,0.25408,1.9394,2.75183,1.46318,0.000330269,0.000330269,0.000330269
9,44.1937,1.9427,1.46686,1.3864,0.57162,0.62802,0.52849,0.24729,1.9684,2.29988,1.49066,0.000364766,0.000364766,0.000364766
10,46.9329,1.82111,1.36345,1.31306,0.57637,0.67778,0.57816,0.26363,1.93187,1.68766,1.43744,0.000397283,0.000397283,0.000397283
11,49.8611,1.74552,1.31964,1.29448,0.7971,0.4853,0.62887,0.3234,1.9029,1.71792,1.38504,0.000427819,0.000427819,0.000427819
12,53.1474,1.85383,1.38874,1.32731,0.62141,0.56667,0.63589,0.33127,1.91728,2.20849,1.3698,0.000456375,0.000456375,0.000456375
13,59.3681,1.76832,1.35366,1.32032,0.72047,0.67778,0.70197,0.35584,1.90178,1.89302,1.3901,0.00048295,0.00048295,0.00048295
14,66.5818,1.58417,1.13966,1.23131,0.66073,0.62222,0.64558,0.33174,1.89364,1.43328,1.40348,0.000507545,0.000507545,0.000507545
15,72.1019,1.75587,1.28581,1.25996,0.66073,0.62222,0.64558,0.33174,1.89364,1.43328,1.40348,0.000530159,0.000530159,0.000530159
16,81.2655,1.76458,1.23117,1.28779,0.71223,0.61111,0.63412,0.32258,1.93793,1.35253,1.41905,0.000550793,0.000550793,0.000550793
